RotationInterval(0-1s),PWMDutyCycle(0-1)
0.157367,0.6337
0.658022,0.6288
1.000000,0.6239
0.125257,0.6466
0.196898,0.6442
0.197256,0.6518
0.233461,0.6462
0.275785,0.6413
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.052265,0.6608
0.059802,0.6584
0.083432,0.6659
0.201967,0.6601
0.438446,0.6598
0.523776,0.6596
0.334454,0.6593
0.188588,0.6591
0.356075,0.6589
0.337520,0.6586
0.833698,0.6584
0.714445,0.6581
0.471236,0.6579
0.250224,0.6576
0.384186,0.6574
0.861917,0.6571
0.295519,0.6569
0.309260,0.6567
0.588658,0.6564
1.000000,0.6562
0.390248,0.6542
0.650510,0.6518
0.418942,0.6591
0.313746,0.6535
0.454217,0.6532
0.404045,0.6530
0.297271,0.6527
0.354870,0.6525
0.755088,0.6523
0.234171,0.6520
0.283531,0.6518
0.314929,0.6515
0.276197,0.6513
0.257823,0.6510
0.325059,0.6508
0.242928,0.6505
0.376820,0.6503
1.000000,0.6501
1.000000,0.6476
0.144513,0.6799
1.000000,0.6452
0.131938,0.6733
0.125077,0.6774
0.262758,0.6525
1.000000,0.6471
0.313108,0.6664
0.159895,0.6706
0.295728,0.6462
0.151996,0.6794
0.152023,0.6791
0.097248,0.6789
0.068231,0.6786
0.079967,0.6784
0.084064,0.6781
0.067310,0.6779
0.077219,0.6777
0.103599,0.6774
0.092835,0.6772
0.074866,0.6769
0.086689,0.6767
0.107681,0.6764
0.107905,0.6762
0.101567,0.6759
0.136715,0.6757
0.164526,0.6755
0.189384,0.6752
0.210626,0.6750
0.177879,0.6747
0.175615,0.6745
0.174454,0.6742
0.173362,0.6740
0.116478,0.6691
0.101840,0.6642
0.134355,0.6593
0.221255,0.6545
0.287016,0.6496
1.000000,0.6447
1.000000,0.6598
0.041451,0.6928
0.110173,0.6640
1.000000,0.6396
0.111448,0.6857
0.169941,0.6574
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.039155,0.6400
0.072646,0.6379
0.083385,0.6452
0.113067,0.6396
0.137972,0.6393
0.227324,0.6391
0.189613,0.6388
0.175087,0.6386
0.160858,0.6383
0.139497,0.6381
0.124366,0.6379
0.152643,0.6376
0.207536,0.6374
0.199472,0.6371
0.309036,0.6369
1.000000,0.6366
1.000000,0.6337
0.310094,0.6654
1.000000,0.6315
0.732599,0.6589
0.141913,0.6630
0.133232,0.6386
0.199094,0.6332
0.243680,0.6330
0.389402,0.6327
0.325274,0.6325
0.243647,0.6322
0.203293,0.6320
0.221688,0.6317
0.235396,0.6315
0.251497,0.6313
0.321852,0.6310
0.201717,0.6308
0.292837,0.6305
0.710549,0.6303
0.304366,0.6300
1.000000,0.6298
0.151010,0.6523
0.093055,0.6564
0.113047,0.6322
0.227708,0.6269
0.829838,0.6266
1.000000,0.6264
0.079827,0.6457
0.169783,0.6498
1.000000,0.6259
0.354628,0.6393
0.999622,0.6432
0.116019,0.6574
0.258662,0.6205
1.000000,0.6203
0.172192,0.6327
0.209149,0.6369
0.183070,0.6508
1.000000,0.6144
1.000000,0.6266
0.055376,0.6579
0.260677,0.6305
0.149866,0.6442
0.117864,0.6452
0.118605,0.6403
0.161997,0.6354
0.304570,0.6305
1.000000,0.6256
0.145063,0.6513
1.000000,0.6242
0.211921,0.6447
0.138588,0.6554
0.163565,0.6379
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.044073,0.6789
0.049093,0.6508
0.090321,0.6716
0.138660,0.6725
0.203981,0.6723
0.166033,0.6720
0.124796,0.6718
0.148583,0.6716
0.148454,0.6713
0.157110,0.6711
0.210834,0.6708
0.145078,0.6706
0.175723,0.6703
0.167248,0.6701
0.163916,0.6698
0.142483,0.6696
0.143612,0.6694
0.164072,0.6691
0.137257,0.6689
0.198763,0.6686
0.245202,0.6684
0.182502,0.6681
0.154995,0.6679
0.174502,0.6676
0.128201,0.6674
0.112254,0.6672
0.151933,0.6669
0.210247,0.6667
0.173017,0.6664
0.151753,0.6662
0.132270,0.6659
0.112908,0.6657
0.133060,0.6654
0.144164,0.6652
0.141251,0.6650
0.119394,0.6647
0.128873,0.6645
0.141670,0.6642
0.177601,0.6640
0.170142,0.6637
0.146982,0.6635
0.223174,0.6632
0.256403,0.6630
0.367410,0.6628
0.338981,0.6625
0.234757,0.6623
0.195845,0.6620
0.225240,0.6618
0.230396,0.6615
0.133910,0.6613
0.120019,0.6611
0.161908,0.6608
0.248878,0.6606
0.219915,0.6603
1.000000,0.6601
0.144684,0.6723
1.000000,0.6442
0.200626,0.6654
0.124757,0.6764
0.143756,0.6650
0.191559,0.6659
0.222549,0.6657
0.196303,0.6654
0.151804,0.6652
0.158152,0.6650
0.198456,0.6647
0.186370,0.6645
0.171952,0.6642
0.335695,0.6593
0.396015,0.6545
0.560412,0.6496
1.000000,0.6447
1.000000,0.6589
0.108811,0.6918
0.115070,0.6696
0.233867,0.6584
0.278538,0.6591
0.473942,0.6542
0.285989,0.6493
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.038828,0.6383
0.065584,0.6488
0.082701,0.6315
0.152399,0.6386
0.206190,0.6337
0.549517,0.6288
1.000000,0.6239
1.000000,0.6320
0.204254,0.6635
0.657164,0.6422
1.000000,0.6252
0.158247,0.6569
0.110668,0.6359
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.121203,0.6503
0.134303,0.6295
0.109351,0.6564
0.102567,0.6322
0.141617,0.6320
0.210098,0.6317
0.301546,0.6315
0.338889,0.6313
0.272204,0.6310
0.241020,0.6308
0.212237,0.6305
0.154105,0.6303
0.210099,0.6300
0.222400,0.6298
0.220919,0.6295
0.334268,0.6293
0.245238,0.6291
0.182789,0.6288
0.259423,0.6286
1.000000,0.6283
0.140458,0.6437
1.000000,0.6232
0.086008,0.6374
0.155330,0.6545
0.260525,0.6498
1.000000,0.6259
1.000000,0.6310
0.119039,0.6625
0.117813,0.6479
0.106386,0.6432
0.092566,0.6574
0.075098,0.6571
0.077265,0.6569
0.082321,0.6567
0.078872,0.6564
0.077807,0.6562
0.077061,0.6559
0.078396,0.6557
0.075542,0.6554
0.073494,0.6552
0.071809,0.6549
0.073764,0.6547
0.080671,0.6545
0.091153,0.6542
0.088421,0.6540
0.082214,0.6537
0.079108,0.6535
0.090516,0.6486
0.100535,0.6437
0.167008,0.6388
1.000000,0.6339
0.201980,0.6559
0.248286,0.6413
1.000000,0.6369
0.389413,0.6493
0.191586,0.6349
0.095283,0.6686
0.070102,0.6508
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.045760,0.6847
0.049415,0.6630
0.118703,0.6518
0.396795,0.6525
0.684706,0.6476
1.000000,0.6427
0.111797,0.6779
0.323275,0.6564
1.000000,0.6452
0.196044,0.6713
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.165382,0.6645
0.230391,0.6498
0.161893,0.6774
0.162374,0.6462
1.000000,0.6459
0.148392,0.6579
1.000000,0.6432
1.000000,0.6513
0.128669,0.6838
0.120270,0.6755
0.128551,0.6706
1.000000,0.6396
0.113735,0.6769
0.110272,0.6686
0.112627,0.6640
0.139658,0.6716
0.134283,0.6667
0.168126,0.6618
0.242181,0.6569
0.379930,0.6520
1.000000,0.6471
0.155651,0.6703
0.203162,0.6620
0.290506,0.6574
0.187348,0.6650
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.040998,0.6430
0.070805,0.6286
0.066063,0.6620
0.072251,0.6442
0.106934,0.6440
0.127633,0.6437
0.112536,0.6435
0.108888,0.6432
0.111209,0.6430
0.121689,0.6427
0.113683,0.6425
0.124937,0.6422
0.111373,0.6420
0.131232,0.6418
0.162000,0.6415
0.217928,0.6413
0.208392,0.6410
0.144884,0.6408
0.142621,0.6405
0.155875,0.6403
0.186793,0.6400
0.270938,0.6398
1.000000,0.6396
1.000000,0.6364
0.131228,0.6684
1.000000,0.6222
0.087328,0.6615
0.116997,0.6535
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.085538,0.6999
0.036080,0.6498
0.032346,0.6498
0.029791,0.6498
0.024308,0.6496
0.023382,0.6493
0.021413,0.6491
0.023243,0.6488
0.022670,0.6486
0.025484,0.6484
0.027107,0.6481
0.027791,0.6479
0.026288,0.6476
0.026128,0.6474
0.026460,0.6471
0.027518,0.6469
0.030146,0.6466
0.032066,0.6464
0.029177,0.6462
0.028950,0.6459
0.026458,0.6457
0.025660,0.6454
0.025405,0.6452
0.025874,0.6449
0.025652,0.6447
0.026216,0.6444
0.027304,0.6442
0.028994,0.6440
0.026429,0.6437
0.028222,0.6435
0.027610,0.6432
0.029202,0.6430
0.033576,0.6427
0.034873,0.6425
0.031943,0.6422
0.030943,0.6420
0.029017,0.6418
0.025690,0.6415
0.027129,0.6413
0.026069,0.6410
0.027376,0.6408
0.028734,0.6405
0.030852,0.6403
0.032634,0.6400
0.033986,0.6398
0.030231,0.6396
0.029361,0.6393
0.027747,0.6391
0.026541,0.6388
0.027022,0.6386
0.027894,0.6383
0.029682,0.6381
0.031108,0.6379
0.031088,0.6376
0.029298,0.6374
0.028478,0.6371
0.026253,0.6369
0.029931,0.6366
0.030527,0.6364
0.032464,0.6361
0.033510,0.6359
0.031828,0.6357
0.034066,0.6354
0.031136,0.6352
0.031541,0.6349
0.030989,0.6347
0.031505,0.6344
0.036325,0.6342
0.036658,0.6339
0.037995,0.6337
0.034679,0.6335
0.035122,0.6332
0.031995,0.6330
0.034800,0.6327
0.033955,0.6325
0.034287,0.6322
0.038518,0.6320
0.041363,0.6317
0.042109,0.6315
0.040823,0.6313
0.042897,0.6310
0.043701,0.6308
0.041026,0.6305
0.042856,0.6303
0.043633,0.6300
0.043019,0.6298
0.042787,0.6295
0.038924,0.6293
0.036307,0.6291
0.034615,0.6288
0.035394,0.6286
0.037597,0.6237
0.044656,0.6188
0.050771,0.6139
0.059927,0.6090
0.082646,0.6042
0.100998,0.5993
0.153000,0.5944
1.000000,0.5895
0.034688,0.6928
0.050432,0.6435
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.074901,0.6999
0.041393,0.6498
0.050210,0.6498
0.050539,0.6498
0.053506,0.6496
0.048934,0.6493
0.043704,0.6491
0.046780,0.6488
0.047646,0.6486
0.050737,0.6484
0.047154,0.6481
0.048904,0.6479
0.052257,0.6476
0.056299,0.6474
0.058999,0.6471
0.055320,0.6469
0.052599,0.6466
0.051393,0.6464
0.051904,0.6462
0.051102,0.6459
0.049756,0.6457
0.048571,0.6454
0.049790,0.6452
0.054007,0.6449
0.054243,0.6447
0.057988,0.6444
0.061112,0.6442
0.059569,0.6440
0.059404,0.6437
0.058488,0.6435
0.054873,0.6432
0.047286,0.6430
0.043201,0.6427
0.045690,0.6425
0.045096,0.6422
0.048783,0.6420
0.051511,0.6371
0.055695,0.6322
0.070640,0.6274
0.101866,0.6225
0.159365,0.6176
1.000000,0.6127
0.054852,0.6928
0.046467,0.6435
0.051193,0.6435
0.055760,0.6435
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.054132,0.6860
0.048632,0.6369
0.054443,0.6369
0.058726,0.6369
0.057430,0.6366
0.065768,0.6364
0.066029,0.6361
0.066672,0.6359
0.068736,0.6357
0.077487,0.6354
0.072197,0.6352
0.069186,0.6349
0.081084,0.6347
0.092669,0.6344
0.083332,0.6342
0.087996,0.6339
0.086431,0.6337
0.070343,0.6335
0.071979,0.6332
0.075623,0.6283
0.084428,0.6234
0.093618,0.6186
0.144081,0.6137
1.000000,0.6088
0.065303,0.6791
0.063776,0.6305
0.096362,0.6305
0.092427,0.6305
0.096762,0.6256
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.091146,0.6723
0.055166,0.6242
0.091828,0.6242
0.114007,0.6242
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.032724,0.6860
0.052537,0.6369
0.047770,0.6435
0.041043,0.6435
0.039195,0.6432
0.033964,0.6430
0.029359,0.6427
0.033108,0.6425
0.027570,0.6422
0.032773,0.6420
0.030365,0.6418
0.030306,0.6415
0.027791,0.6413
0.030492,0.6410
0.029793,0.6408
0.029297,0.6405
0.029764,0.6403
0.029312,0.6400
0.029242,0.6398
0.030869,0.6396
0.033427,0.6393
0.029494,0.6391
0.031489,0.6388
0.030143,0.6386
0.029428,0.6383
0.028630,0.6381
0.029157,0.6379
0.032493,0.6376
0.030500,0.6374
0.035823,0.6371
0.034480,0.6369
0.033656,0.6366
0.031604,0.6364
0.029991,0.6361
0.029756,0.6359
0.031146,0.6357
0.033493,0.6354
0.036060,0.6352
0.037053,0.6349
0.035720,0.6347
0.034803,0.6344
0.031548,0.6342
0.031656,0.6339
0.034874,0.6337
0.039746,0.6335
0.037909,0.6332
0.039562,0.6330
0.037977,0.6327
0.036234,0.6278
0.040377,0.6230
0.045867,0.6181
0.046297,0.6132
0.064315,0.6083
0.088351,0.6034
0.134424,0.5985
0.187413,0.5937
0.227599,0.5888
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.073587,0.6791
0.037861,0.6305
0.037262,0.6369
0.040671,0.6369
0.040265,0.6366
0.040694,0.6364
0.042392,0.6361
0.035414,0.6359
0.033928,0.6357
0.032544,0.6354
0.030722,0.6352
0.030644,0.6349
0.034255,0.6347
0.036557,0.6344
0.041027,0.6342
0.041450,0.6339
0.037916,0.6337
0.036225,0.6335
0.035755,0.6332
0.039604,0.6330
0.041355,0.6327
0.042885,0.6325
0.045040,0.6322
0.043847,0.6320
0.039726,0.6317
0.040441,0.6269
0.042580,0.6220
0.044140,0.6171
0.048012,0.6122
0.061410,0.6073
0.074581,0.6024
0.124037,0.5976
0.194094,0.5927
1.000000,0.5878
0.048750,0.6723
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.085697,0.6657
0.064221,0.6181
0.113251,0.6181
0.144883,0.6181
0.157251,0.6178
0.152409,0.6176
0.136050,0.6173
0.129705,0.6171
0.130414,0.6168
0.127683,0.6166
0.115185,0.6164
0.122097,0.6161
0.132766,0.6159
0.130929,0.6156
1.000000,0.6154
0.091837,0.6589
0.101214,0.6117
0.175034,0.6117
0.169591,0.6117
0.173947,0.6115
0.133576,0.6112
0.124571,0.6110
0.158682,0.6107
0.172773,0.6105
0.169049,0.6103
0.160344,0.6100
0.236091,0.6098
0.182579,0.6095
0.346127,0.6093
0.340395,0.6090
0.299585,0.6088
0.248610,0.6085
0.281316,0.6083
0.185894,0.6081
0.216779,0.6078
0.182128,0.6076
0.199950,0.6073
0.208600,0.6071
0.214491,0.6068
0.278158,0.6066
1.000000,0.6063
0.080663,0.6523
0.106663,0.6056
0.242471,0.6056
0.328651,0.6056
0.384567,0.6054
0.262134,0.6051
0.162631,0.6049
0.161315,0.6000
1.000000,0.5951
0.112252,0.6459
0.120624,0.5998
1.000000,0.5998
0.075371,0.6393
0.187529,0.5937
0.129663,0.6295
0.159047,0.5998
1.000000,0.5949
0.181189,0.6330
1.000000,0.5878
0.206906,0.6266
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
