RotationInterval(0-1s),PWMDutyCycle(0-1)
0.064326,0.1077
0.239104,0.1209
1.000000,0.0957
1.000000,0.1236
1.000000,0.1272
0.233233,0.1470
0.056654,0.1155
0.076087,0.1179
0.033388,0.1011
0.016742,0.1165
0.012286,0.0977
0.007322,0.1270
0.003620,0.1092
0.004210,0.0984
0.004006,0.1241
0.021702,0.1245
0.020518,0.1272
0.017216,0.1116
0.015018,0.1128
0.015188,0.1040
0.014138,0.1209
0.014631,0.1316
0.015678,0.1140
0.016392,0.1153
0.015775,0.1324
0.016787,0.1077
0.000317,0.0960
0.003238,0.1167
0.002855,0.1153
0.000658,0.0989
0.002719,0.1316
0.002095,0.1265
0.019206,0.1187
0.018330,0.1160
0.017434,0.1126
0.017757,0.1294
0.019274,0.1255
0.018213,0.1136
0.017958,0.1311
0.016481,0.1096
0.014365,0.1153
0.014559,0.1289
0.013708,0.0974
0.014894,0.0979
0.015830,0.1084
0.014995,0.1206
0.012937,0.1116
0.013523,0.1023
0.015400,0.1177
0.014644,0.1026
0.015945,0.1062
0.016858,0.1248
0.015346,0.1092
0.021975,0.1304
0.022493,0.1118
0.003384,0.1165
0.000597,0.1043
0.000666,0.0928
0.003259,0.0962
0.001991,0.1170
0.001355,0.1033
0.000491,0.1241
0.001364,0.1201
0.000368,0.1070
0.021404,0.1023
0.022153,0.0945
0.001887,0.0977
0.003042,0.0908
0.003623,0.0984
0.006577,0.1013
0.007532,0.0913
0.004792,0.1226
0.003881,0.0965
0.002710,0.1150
0.002494,0.1253
0.021478,0.0952
0.019991,0.1094
0.016911,0.1106
0.016151,0.1272
0.015096,0.1099
0.014474,0.1123
0.011481,0.0969
0.014197,0.0901
0.016431,0.1160
0.018047,0.1123
0.018519,0.0987
0.018550,0.1140
0.025264,0.0891
0.003052,0.1201
0.003540,0.0913
0.008908,0.1111
0.009651,0.1199
0.006184,0.1243
0.004026,0.0889
0.004916,0.0884
0.007387,0.1057
0.006012,0.1004
0.005660,0.1055
0.003370,0.0913
0.002391,0.1228
0.004032,0.1111
0.002314,0.0965
0.002942,0.0879
0.005127,0.1079
0.004710,0.1228
0.004599,0.0945
0.005895,0.0889
0.005952,0.1084
0.006548,0.1221
0.004011,0.0940
0.003586,0.0896
0.002534,0.0923
0.002869,0.0884
0.005184,0.1219
0.000209,0.1033
0.022305,0.1053
0.021077,0.1026
0.017527,0.1172
0.017140,0.1092
0.016720,0.1067
0.017207,0.1026
0.014903,0.0860
0.020059,0.1177
0.019440,0.1214
0.018987,0.1057
0.021050,0.1060
0.001749,0.1114
0.002056,0.1013
0.002430,0.0984
0.005605,0.1136
0.005684,0.1079
0.008660,0.1187
0.006915,0.1072
0.006447,0.0994
0.007649,0.1114
0.006390,0.1162
1.000000,0.0000
1.000000,0.0659
1.000000,0.0000
1.000000,0.0000
1.000000,0.0159
1.000000,0.0000
0.083760,0.1128
0.031790,0.0703
0.044496,0.0676
1.000000,0.0359
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.048484,0.1448
0.030736,0.1338
0.021545,0.1267
0.017295,0.1006
0.017246,0.1226
0.010708,0.0989
0.008287,0.1043
0.005967,0.0886
0.007076,0.1216
0.004482,0.1138
0.001767,0.1209
0.001209,0.1111
0.004691,0.0987
0.010834,0.1148
0.012641,0.1043
0.012407,0.1253
0.009743,0.0901
0.012856,0.1060
0.017850,0.0899
0.021227,0.1170
0.022249,0.0965
0.024905,0.1026
0.021524,0.1016
0.019186,0.1206
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
1.000000,0.0000
0.040004,0.1096
0.012801,0.0999
0.010108,0.0960
0.011025,0.1145
0.006417,0.1050
0.008081,0.1109
0.011877,0.0862
0.016172,0.1077
0.021045,0.1214
1.000000,0.0933
